ID,Title,TMDB_id,IMGID,Release,Runtime,Genres,Language,Cast,Director,Producer,Writer,Sound Designer,Editor,Director of Photography,Composer,Art Direction,Production Design,Costume Design,Makeup Artist
[Film4383],Carnal Knowledge,36492,/l7e1qP8Mq97W1Wg14FNnbz1OxmG.jpg,1971-06-30,98,"Drama,Romance",en,"Jack Nicholson,Candice Bergen,Art Garfunkel,Ann-Margret,Rita Moreno",Mike Nichols,Mike Nichols,,,Sam O'Steen,Giuseppe Rotunno,,Robert Luthardt,Richard Sylbert,Anthea Sylbert,
[Film4396],The Last Wave,72277,/7UwdJ0EMXirUuNFaohfK023Nuyr.jpg,1977-01-01,106,"Thriller,Mystery,Drama",en,"Richard Chamberlain,Olivia Hamnett,David Gulpilil,Frederick Parslow,Vivean Gray",Peter Weir,"Hal McElroy,Jim McElroy",,,Max Lemon,Russell Boyd,,Neil Angwin,,Annie Bleakley,Lloyd James
[Film4408],The Nazarene Cross and the Wolf,,,,,,,,,,,,,,,,,,
[Film4426],Little Big Man,11040,/pLvUVqadEI9cPrRlTru6ee71EWU.jpg,1970-12-14,139,"Adventure,Western,Comedy,Drama",en,"Dustin Hoffman,Faye Dunaway,Chief Dan George,Martin Balsam,Richard Mulligan",Arthur Penn,Stuart Millar,,,Dede Allen,Harry Stradling Jr.,,Angelo P. Graham,Dean Tavoularis,,Dick Smith
[Film44595],Snapshot,86283,/oTUgwV245xy6Hz6fbz4aTNZRbvY.jpg,1979-06-01,92,Thriller,en,"Chantal Contouri,Robert Bruning,Sigrid Thornton,Hugh Keays-Byrne,Denise Drysdale",Simon Wincer,Antony I. Ginnane,"Everett De Roche,Chris de Roche",,Philip Reid,Vincent Monton,Brian May,,Jon Dowding,,
[Film448],National Lampoon's Animal House,8469,/1iYG1mu8dPIXPzUBZF4OE1KUMMl.jpg,1978-07-27,109,Comedy,en,"John Belushi,Tim Matheson,John Vernon,Verna Bloom,Tom Hulce",John Landis,"Ivan Reitman,Judith Belushi-Pisano,Matty Simmons","Harold Ramis,Douglas Kenney,Chris Miller",,George Folsey Jr.,Charles Correll,,John J. Lloyd,,Deborah Nadoolman,"Gerald Soucie,Lynne Brooks"
[Film45067],Street of Joy,129372,/dWtqbLYz5DYMeRUiMqlUfOqKahU.jpg,1974-09-21,78,Drama,ja,"Junko Miyashita,Meika Seri,Naomi Oka,Aoi Nakajima,Keizo Kanie",Tatsumi Kumashiro,,,,Akira Suzuki,Shinsaku Himeda,,Yoshinaga Yoko'o,,,
[Film4518],The Wing and the Thigh,761,/ywkIu5l3iAgPZvLFEVBDYxLouH8.jpg,1976-10-27,104,Comedy,fr,"Louis de Funès,Coluche,Ann Zacharias,Julien Guiomar,Claude Gensac",Claude Zidi,"Christian Fechner,Bernard Artigues",,,"Monique Isnardon,Robert Isnardon","Claude Renoir,Wladimir Ivanov",Vladimir Cosma,,Michel de Broin,Jacques Fonteray,
[Film451],Sweet Sweetback's Baadasssss Song,5822,/b8WohfEVW6nCnHBlQGXmXmSJJhW.jpg,1971-04-23,97,"Action,Drama,Crime",en,"Simon Chuckster,Melvin Van Peebles,Hubert Scales,Mario Van Peebles,John Dullaghan",Melvin Van Peebles,"Jerry Gross,Melvin Van Peebles",,,Melvin Van Peebles,Robert Maxwell,,,,,
[Film4565],State of Siege,355092,/tuorsAW8ba27bLpFC9YzexvAGWO.jpg,1978-04-01,50,Drama,en,"Anne Flannery,Peggy Walker,John Bullock,Peter McCauley,Maime White",Vincent Ward,Timothy White,"Vincent Ward,Timothy White",,Chris King,Alun Bollinger,John Cousins,,,Gwen Kaiser,
[Film4571],Grass Labyrinth,49695,/xZoSucIT1j9YwS51eZGrIh7ePam.jpg,1979-01-01,41,"Drama,Romance,Fantasy",ja,"Hiroshi Mikami,Takeshi Wakamatsu,Keiko Niitaka,Juzo Itami,Miho Fukuya",Shūji Terayama,,"Shūji Terayama,Rio Kishida",,Tomoyo Ōshima,Tatsuo Suzuki,,,,,
[Film4578],Rocky II,1367,/f1EbiHcLxHgGbDPpwzk1f4xkiHo.jpg,1979-06-15,119,Drama,en,"Sylvester Stallone,Talia Shire,Burt Young,Carl Weathers,Burgess Meredith",Sylvester Stallone,"Irwin Winkler,Robert Chartoff",,,"Stanford C. Allen,Janice Hampton",Bill Butler,Bill Conti,Richard Berger,,"Tom Bronson,Sandy Berke Jordan",Philip Goldblat
[Film46038],Messidor,108759,/tYWB2FacfZpj90u8DiPlX9CbMEg.jpg,1979-03-14,123,"Adventure,Drama",fr,"Clémentine Amouroux,Catherine Rétoré,Franziskus Abgottspon,Hansjorg Bedschard,Jörg Reichlin",Alain Tanner,"Yves Gasser,Yves Peyrot",Alain Tanner,,Brigitte Sousselier,Renato Berta,Arié Dzierlatka,,,,
[Film4612],The Big Feast,10102,/wLy3YoL0day0p5DYvOHmpxAK29W.jpg,1973-05-16,130,"Drama,Comedy",fr,"Marcello Mastroianni,Ugo Tognazzi,Michel Piccoli,Philippe Noiret,Andréa Ferréol",Marco Ferreri,Vincent Malle,,,"Claudine Merlin,Gina Pignier",Mario Vulpiani,,,Michel de Broin,Gitt Magrini,"Alfonso Gola,Jacky Bouban"
[Film4622],Murder by Death,6037,/9HlvA3JUn0yuUvWUXJTfMJB1Vge.jpg,1976-06-23,94,"Comedy,Crime,Mystery,Thriller",en,"Alec Guinness,David Niven,Maggie Smith,Peter Sellers,Peter Falk",Robert Moore,Ray Stark,Neil Simon,,John F. Burnett,David M. Walsh,Dave Grusin,Harry Kemm,Stephen B. Grimes,Ann Roth,Joe DiBella
[Film4631],Coma,11223,/kNMfXPm1f8OgVYFU4aEhmP9TJzO.jpg,1978-01-06,113,"Thriller,Horror,Mystery,Drama",en,"Geneviève Bujold,Michael Douglas,Elizabeth Ashley,Rip Torn,Richard Widmark",Michael Crichton,Martin Erlichman,,,David Bretherton,Victor J. Kemper,Jerry Goldsmith,,Albert Brenner,,Don Schoenfeld
[Film4648],Mikey and Nicky,59143,/milD3gyRK2lE2U8HJ5hMHih3CzN.jpg,1976-12-21,106,"Crime,Drama",en,"Peter Falk,John Cassavetes,Ned Beatty,Rose Arrick,Carol Grace",Elaine May,Michael Hausman,Elaine May,,"Sheldon Kahn,John Carter","Lucien Ballard,Victor J. Kemper,Bernie Abramson,Jack Cooperman,Jerry File",John Strauss,,Paul Sylbert,,Irving Buchman
[Film46521],Sexual Aberration,105866,/u0uHmmZC5wciCmoHRZ3i7Tp3hne.jpg,1979-01-01,79,Adventure,it,"Christa Free,Esther Moser,Mimmo Poli,Maria Grazia Smaldone,Umberto Amambrini",Bruno Mattei,,,,,,,,,,
[Film46535],Charley One-Eye,83831,/kDUO9T617irVywezc0rVhwcbath.jpg,1973-04-18,107,Western,en,"Richard Roundtree,Roy Thinnes,Nigel Davenport,Aldo Sambrell,Jill Pearson",Don Chaffey,James Swann,,,Mike Campbell,Kenneth Talbot,John Cameron,"Maurice Pelling,José María Tapiador",,,Colin Arthur
